url,title,date
https://www2.census.gov/geo/tiger/TIGER2018/SCSD/,"Series Information File for the 2018 TIGER/Line Shapefile,  Current Secondary School Districts Shapefile State-based",2019-02-06T18:15:42.413845
http://www2.census.gov/geo/tiger/TIGER2018/AREALM,"Series Information File for the 2018 TIGER/Line Shapefile,  Area Landmark State-based Shapefile",2019-02-06T18:15:36.737360
https://www2.census.gov/geo/tiger/TIGER2018/FACESAH/,"TIGER/Line Shapefile, 2018, Series Information for the Topological Faces-Area Hydrography County-based Relationship File",2019-02-06T18:14:05.269155
https://www2.census.gov/geo/tiger/TIGER2018/LINEARWATER,"TIGER/Line Shapefile,  2018, Series Information for the   Linear Hydrography County-based Shapefile",2019-02-06T18:12:38.166489
https://inventory.data.gov/dataset/20d5c816-e31a-46be-81d2-abc59d0f4fdb/resource/b8d9e71b-963b-4398-8d37-04628e64871d/download/datacenteroptimizationstrategicplan.json,GSA DCOI Strategic Plan,2019-02-06T18:12:33.463091
https://inventory.data.gov/dataset/2cdc97b5-3029-4ec3-b3bf-baec7948bad1/resource/ae0d8c20-3c63-40c3-96da-24a24f507e79/download/datagovlserexus.csv,Real Estate Across the United States (REXUS) (Lease),2019-02-06T18:12:33.462743
https://inventory.data.gov/dataset/04247624-1d6b-4e03-84eb-9eda1a6ea638/resource/63663b53-7cb6-4bea-bc4e-1e5897ef3158/download/datagovbldgrexus.csv,Real Estate Across the United States (REXUS) Inventory (Building),2019-02-06T18:12:33.459051
https://inventory.data.gov/dataset/4fd4a79f-7fd6-4699-a77a-411bc7e980b9/resource/bfd33f01-4156-44a9-a680-d31dc42a857c/download/elibraryschedulecontracts20190205.xlsx,GSA eLibrary Schedules and Contracts,2019-02-06T18:12:33.452765
https://inventory.data.gov/dataset/acf8e47e-24d2-4e4d-a786-847643f101fd/resource/32606067-7bfa-4040-b089-f790c2c01473/download/edi-json-02-06-19.json,GSA Enterprise Data Inventory (EDI),2019-02-06T18:12:33.445792
https://www.ftc.gov/sites/default/files/dnc_complaint_numbers_2018-09-10-15.csv,Do Not Call (DNC) Reported Calls Data 9/7/18 - 9/14/18,2019-02-06T18:12:13.371328
https://www.ftc.gov/sites/default/files/dnc_complaint_numbers_2018-09-03-07.csv,Do Not Call (DNC) Reported Calls Data 8/31/18 - 9/6/18,2019-02-06T18:12:12.159711
https://www.ftc.gov/sites/default/files/dnc_complaint_numbers_2018-08-27-31.csv,Do Not Call (DNC) Reported Calls Data 8/24/18 - 8/30/18,2019-02-06T18:12:09.026536
https://www.ftc.gov/sites/default/files/dnc_complaint_numbers_2018-08-20-24.csv,Do Not Call (DNC) Reported Calls Data 8/17/18 - 8/23/18,2019-02-06T18:12:08.888101
